dataset_classifiers1
   k-NN  RBF SVC  Perceptron
0   1.0      1.0        1.00
1   1.0      1.0        1.00
2   1.0      1.0        1.00
3   1.0      1.0        1.00
4   1.0      1.0        1.00
5   1.0      1.0        1.00
6   1.0      1.0        1.00
7   1.0      1.0        1.00
8   1.0      1.0        1.00
9   1.0      1.0        0.98
dataset_classifiers2
   k-NN  RBF SVC  Perceptron
0   1.0      1.0    0.457143
1   1.0      1.0    0.542857
2   1.0      1.0    0.542857
3   1.0      1.0    0.342857
4   1.0      1.0    0.485714
5   1.0      1.0    0.457143
6   1.0      1.0    0.628571
7   1.0      1.0    0.457143
8   1.0      1.0    0.485714
9   1.0      1.0    0.485714
dataset_classifiers3
    k-NN  RBF SVC  Perceptron
0  0.974    0.958       0.868
1  0.970    0.962       0.826
2  0.965    0.956       0.864
3  0.971    0.953       0.793
4  0.959    0.956       0.852
5  0.967    0.961       0.850
6  0.972    0.954       0.841
7  0.959    0.958       0.853
8  0.964    0.955       0.819
9  0.961    0.949       0.772
